load_cell, time_of_flight, time
-1822911, 228.35, 16:25:52
-1848585, 231.77, 16:25:53
-1876459, 233.43, 16:25:54
-1904619, 236.26, 16:25:55
-1939187, 238.23, 16:25:56
-1972689, 240.91, 16:25:57
-2006601, 246.06, 16:25:58
-2042617, 249.72, 16:25:59
-2076165, 251.97, 16:26:00
-2109367, 255.20, 16:26:01
-2152665, 258.54, 16:26:02
-2187063, 261.10, 16:26:03
-2225031, 265.35, 16:26:04
-2268727, 267.91, 16:26:05
-2312933, 274.37, 16:26:06
-2364791, 279.65, 16:26:07
-2413647, 282.64, 16:26:08
-2461035, 289.41, 16:26:09
-2498523, 298.03, 16:26:10
-2534531, 299.72, 16:26:11
-2567295, 304.17, 16:26:12
-2593413, 310.75, 16:26:13
-2611683, 312.48, 16:26:14
-2637491, 320.91, 16:26:15
-2668557, 319.84, 16:26:16
-2702437, 332.09, 16:26:17
-2730431, 330.75, 16:26:18
-2758541, 337.05, 16:26:19
-2777157, 350.28, 16:26:20
-2793073, 347.72, 16:26:21
-2799123, 345.94, 16:26:22
-2795031, 367.60, 16:26:23
-2819483, 373.70, 16:26:24
-2837483, 385.04, 16:26:25
-2833195, 379.13, 16:26:26
-2863521, 387.48, 16:26:27
-2872679, 393.27, 16:26:28
-2859255, 388.90, 16:26:29
-2852589, 388.86, 16:26:30
-2845813, 394.72, 16:26:31
-2840559, 381.18, 16:26:32
-2837209, 392.76, 16:26:33
-2833613, 387.87, 16:26:34
-2831225, 403.86, 16:26:35
-2827895, 408.15, 16:26:36
-2826195, 391.18, 16:26:37
-2823613, 386.42, 16:26:38
-2819869, 392.60, 16:26:39
-2819261, 401.97, 16:26:40
-2817115, 383.46, 16:26:41
